Site_ID,Patch_ID,lat,long,Urb_Rur,Updated_latlong,Updated_urbrural,Incorrect_outdated_Urb_Rur,Quadrant,River_Valley
MWI034,MWI034,43.878661,-79.748289,Rural,N,N,Rural,58,N
MWI035,MWI035,43.870627,-79.91166,Rural,N,N,Rural,57,
MWI036,MWI036,43.675637,-79.697509,Urban,N,Y,Rural,80,Y
MWI037,MWI037,43.500733,-79.645637,Urban,N,N,Urban,94,N
MWI038,MWI038,43.710601,-79.693242,Urban,N,N,Urban,80,N
MWI039,MWI039,43.600179,-79.536769,Urban,N,Y,Rural,,
MWI040,MWI040,43.980273,-78.848928,Rural,N,N,Rural,50,
MWI041,MWI041,44.018222,-78.9692,Rural,N,N,Rural,35,N
MWI042,MWI042,44.118282,-79.000582,Rural,N,N,Rural,24,
MWI043,MWI043,44.107598,-79.127055,Rural,N,N,Rural,23,N
MWI044,MWI044,44.0061,-79.101391,Rural,N,N,Rural,34,
MWI045,MWI045,43.959786,-79.125122,Rural,N,N,Rural,48,N
MWI046,MWI046,43.968138,-78.968182,Rural,N,N,Rural,49,
MWI047,MWI047,43.871102,-78.982515,Rural,N,N,Rural,64,
MWI048,MWI048,43.486539,-79.9813686,Rural,N,N,Rural,91,N
MWI049,MWI049,43.606387,-80.1263666,Rural,N,N,Rural,84,
MWI050,MWI050,43.610169,-80.0385124,Rural,N,N,Rural,85,
MWI051,MWI051,43.579539,-79.8801665,Rural,N,N,Rural,86,N
MWI052,MWI052,43.668342,-79.855547,Rural,N,N,Rural,79,
MWI053,MWI053,43.687299,-79.977056,Rural,N,N,Rural,78,N
MWI054,MWI054,43.684359,-80.091581,Rural,N,N,Rural,77,
MWI055,MWI055,43.782845,-80.080908,Rural,N,N,Rural,68,
MWI056,MWI056,43.871554,-80.08388,Rural,N,N,Rural,55,
MWI057,MWI057,43.886686,-80.007555,Rural,N,N,Rural,56,
MWI058,MWI058,43.793817,-80.008945,Rural,N,N,Rural,69,
MWI059,MWI059,43.99049,-79.456416,Rural,N,N,Rural,32,
MWI060,MWI060,44.051921,-79.202519,Rural,N,N,Rural,33,N
MWI061,MWI061,43.972752,-79.163005,Rural,N,N,Rural,47,
MWI062,MWI062,43.860879,-79.21199,Urban,N,N,Urban,62,N
MWI063,MWI063,43.840807,-79.196185,Urban,N,N,Urban,62,Y
MWI064,MWI064,43.848008,-79.245759,Urban,N,N,Urban,62,Y
MWI065,MWI065,43.902086,-79.260261,Urban,N,N,Urban,62,Y
MWI066,MWI066,43.897731,-79.279555,Urban,N,N,Urban,61,Y
MWI067,MWI067,43.843859,-79.318895,Urban,N,N,Urban,61,Y
MWI068,MWI068,43.854548,-79.067414,Urban,N,N,Urban,63,Y
MWI069,MWI069,43.829329,-79.054091,Urban,N,N,Urban,63,Y
MWI070,MWI070,43.864346,-79.096966,Urban,N,N,Urban,63,Y
MWI071,MWI071,43.848246,-79.12825,Urban,N,N,Urban,63,N
MWI072,MWI072,43.809374,-79.122167,Urban,N,N,Urban,76,N
MWI073,MWI073,43.942697,-79.988265,Rural,N,N,Rural,42,N
MWI074,MWI074,43.967519,-79.860387,Rural,N,N,Rural,44,
MWI075,MWI075,43.957531,-79.717209,Rural,N,N,Rural,43,
MWI076,MWI076,43.996179,-79.597078,Rural,N,N,Rural,44,N
MWI077,MWI077,43.821376,-79.581908,Rural,N,N,Rural,59,
MWI078,MWI078,43.830876,-79.44687,Urban,N,N,Urban,60,Y
MWI079,MWI079,43.782727,-79.59178,Urban,N,N,Urban,72,Y
MWI080,MWI080,43.747842,-79.632628,Urban,N,N,Urban,72,Y
MWI081,MWI081,43.617969,-79.508823,Urban,N,N,Urban,89,N
UTSC,UTSC,43.78348333,-79.18972222,Urban,N,N,Urban,75,N
